"activity_title","activity_url","page_title","text"
"CONOCER MURCIA MEDIEVAL","","CONOCER MURCIA MEDIEVAL","Te invitamos a hacer un recorrido histórico por una ciudad milenaria."
"IR DE TAPEO","","IR DE TAPEO","Murcia se saborea de tapa en tapa. En Murcia encontrarás muchas zonas de tapeo. Te decimos dónde."
"Subir a la torre de la Catedral","","Subir a la torre de la Catedral","Es el punto más alto de toda la ciudad. Desde él disfrutarás de unas vistas impresionantes. ¿Te apuntas?"
"Pasear de plaza en plaza","","Pasear de plaza en plaza","Murcia es ciudad de plazas y jardines, para vivirla al aire libre. Descúbrelas una a una."
"Escapada a la Fuensanta","","Escapada a la Fuensanta","Te sorprenderán las impresionantes vistas de Murcia y su huerta, además de un maravilloso entorno natural."
"IR DE COMPRAS","","IR DE COMPRAS","Conoce las novedades de las zonas de shopping de la ciudad. Hay un montón de tiendas con encanto en el centro de Murcia."
"Visitar la capilla de los Velez","","Visitar la capilla de los Velez","Una importantísima obra de estilo gótico-flamígero que por sí sola merece una visita detenida."
"Recorrer el río puente a puente","","Recorrer el río puente a puente","Te proponemos un paseo fantástico que te llevará a lo largo del Río Segura a su paso por la ciudad recorriendo sus puentes."
"Visitar el Belén de Salzillo","","Visitar el Belén de Salzillo","No te puede perder esta joya del Barroco español, el belén está compuesto por un conjunto de 556 figuras todas ellas de una gran calidad escultórica."
"Visitar el Teatro Romea","","Visitar el Teatro Romea","Uno de los edificios históricos con más encanto de Murcia."
"Hacer ejercicio o pasear por el Malecón y Murcia Río","","Hacer ejercicio o pasear por el Malecón y Murcia Río","El paseo murciano por excelencia y uno de los lugares más populares de la ciudad."
"Visitar Monteagudo","","Visitar Monteagudo","Podrás ver el castillo de Monteagudo y sobre él la impresionante escultura del Corazón de Jesús."
