artist_name,day,artist_page,description	
"The Kooks,Viernes,https://warmupfestival.es/portfolio/the-kooks/,""The Kooks subirá al Escenario Estrella de Levante con un setlist lleno de himnos generacionales y la energía que caracteriza su directo. En 2025 lanzaron “Never/Know”, su último álbum, en el que reafirman su sonido fresco y melódico mientras siguen reinventándose sin perder su sello distintivo. Su presencia en #WARMUP2026 demuestra que el festival sigue apostando por grandes nombres."""	
"Soulwax,Viernes,https://warmupfestival.es/portfolio/soulwax/,""Soulwax, uno de los proyectos más influyentes de la electrónica contemporánea. El dúo belga formado por los hermanos Dewaele sigue siendo, en 2025, sinónimo de innovación, potencia escénica y vanguardia sonora. Con una trayectoria que ha redefinido los límites entre rock, electrónica y música de club, sus directos son auténticas experiencias sensoriales donde conviven el techno, el acid, el synth-punk y una puesta en escena milimétrica que los mantiene en la cima de los grandes festivales internacionales."""	
"Guitarricadelafuente,Viernes,https://warmupfestival.es/portfolio/guitarricadelafuente/,""Guitarricadelafuente, una de las voces más cautivadoras de su generación. Su particular fusión de folk, raíz mediterránea y sensibilidad contemporánea llega a Murcia en un momento de plena evolución artística, tras el lanzamiento de “Spanish Leather”, un disco que marca un nuevo capítulo en su trayectoria. En este trabajo, el artista profundiza en las raíces del folk español y latinoamericano que marcaron su debut y reimagina el folclore desde la experiencia personal, trazando un viaje de crecimiento y descubrimiento."""	
"Ultraligera,Viernes,https://warmupfestival.es/portfolio/ultraligera/,""Ultraligera, por su parte, apenas necesita presentación. La banda madrileña, que ha irrumpido con fuerza en la escena nacional desde 2021, se ha consolidado en el circuito con su primer álbum, “Pelo de Foca”, un trabajo con un sonido propio que mezcla grunge, indie y post-punk con letras intensas y una gran energía sobre el escenario. Ultraligera es una de las propuestas más potentes y emocionantes del rock español contemporáneo."""	
"Ginebras,Viernes,https://warmupfestival.es/portfolio/ginebras/,""Ginebras . Desde su primer EP “Dame 10:36 minutos” y éxitos como “La típica canción”, la banda ha ido consolidando una identidad sonora propia que combina pop, indie y rock con letras autobiográficas y garra en las guitarras y la batería. Cerraron el pasado año con ‘Mi diario,’ primer single de su próximo disco, mostrando una versión más rockera y potente que expande sus melodías pop hacia nuevos territorios y refleja su crecimiento musical y personal y demuestra que su evolución constante las sitúa como una de las voces más destacadas de la escena."""	
"Ladilla Rusa,Viernes,https://warmupfestival.es/portfolio/ladilla-rusa/,""El desparpajo, el humor y la cultura pop llegan de la mano de Ladilla Rusa, uno de los fenómenos más singulares del panorama musical español. Convertidos ya en un clásico contemporáneo, el dúo continúa celebrando la ironía, la pista de baile y el costumbrismo moderno con himnos coreables y directos festivos que funcionan como auténticas celebraciones colectivas."""	
León Benavente,Viernes,https://warmupfestival.es/portfolio/leon-benavente/,Una de las bandas imprescindibles del indie-rock español. Desde sus comienzos en 2012 siguien siendo fieles a su sonido contundente y a sus letras que combinan crítica social y magnetismo escénico. Su contundente directo y su mezcla de estilos han convertido a la banda en una referencia musical indiscutible.	
"Midnight Generation,Viernes,https://warmupfestival.es/portfolio/midnight-generation/,""Con Midnight Generation llega al cartel una descarga de groove y elegancia bailable. La banda mexicana llega con “Tender Love”, su último trabajo que que les ha abierto definitivamente las puertas del circuito internacional. Su elegante mezcla de synth pop, funk y electrónica de inspiración ochentera los ha convertido en una de las propuestas más frescas del circuito festivalero actual."""	
"Sanguijuelas del Guadiana,Viernes,https://warmupfestival.es/portfolio/sanguijuelas-del-guadiana/,""Sanguijuelas del Guadiana no podía faltar en estas primeras confirmaciones. Su combinación de crudeza, folclore distorsionado y una estética visceral los ha convertido en una de las revelaciones más singulares del momento y en una de las propuestas más comentadas del circuito musical. El proyecto nació del regreso de sus miembros a su pueblo natal para apostar seriamente por un proyecto que hunde sus raíces en la autenticidad rural. Tras años creciendo juntos entre música, el trío ha consolidado un sonido propio que refleja su identidad y su compromiso con una propuesta tan cruda como genuina."""	
"Veintiuno,Viernes,https://warmupfestival.es/portfolio/veintiuno/,""Veintiuno, que llegan al festival en plena madurez creativa y convertidos ya en una de las bandas de pop alternativo más queridas por el público. La banda nació del deseo de hacer música juntos. Comenzaron ensayando en el garaje de un pueblo de Toledo, aprendiendo a tocar y a crecer como banda desde cero. Durante años perdieron más de lo que ganaron, fueron engañados por quienes decían creer en ellos y llegaron a vender sus propios instrumentos para poder financiar sus primeras grabaciones."""	
"Akrila,Viernes,https://warmupfestival.es/portfolio/akrila/,""A este cierre de cartel se suma Akriila, la rapera chilena ha destacado por su estilo experimental dentro de la música urbana con una propuesta artística poco convencional mezlcando rap, poesía y melodías marcadas por la reflexión. La artista destacó por su aparición en Viña del Mar, en un show que la ha posicionado como una de los grandes descubrmiento de la escena emergente internacional"""	
