"name","category","specialties","opening_hours","address","official_url","phone","email","assistant_note"
"Salzillo","TRADICIONAL","Restaurante ubicado en el Barrio de Santa Eulalia especializado en la gastronomía murciana. Amplia gama de productos para recorrer desde la oferta de nuestras costas, las verduras de nuestra tierra hasta las carnes autóctonas.","No disponible en la fuente","Plaza del Calle Cánovas del Castillo, 28, 30003 Murcia","http://restaurantesalzillo.com/","+34 968 22 01 94","","cerca del centro; buena opción para cocina murciana"
"Morales","TRADICIONAL","Un clasico de la cocina murciana. Gastronomía mediterránea y de mercado. Todas las materias primas son de primera calidad, añadiendo un servicio y atención al cliente excelente. 1 Sol Repsol","No disponible en la fuente","Av. de la Constitución, 12, 30008 Murcia","https://restaurantemorales.es/","+34 968 23 10 26","","cerca del centro; buena opción para cocina murciana"
"El Churra","TRADICIONAL","Platos típicos de la región de Murcia, con poductos de la tierra, carnes, pescados, marisco…. Terraza con capacidad para 40 personas. 1 Sol Repsol","No disponible en la fuente","C/ Obispo Sancho Dávila, 13, 30007 Murcia","https://www.elchurra.net/restaurante","+34 968 27 15 22","","cerca del centro; buena opción para cocina murciana"
"La Seda","TRADICIONAL","Ubicado en un palacete del siglo XVII y en plena huerta. Cocina de temporada y de productos locales de gran calidad. Excepcional bodega con vinos. 1 Sol Repsol","No disponible en la fuente","Vereda Catalán, 15, 30162 Santa Cruz, Murcia","http://www.palacetelaseda.com/","+34 968 870 848","","buena opción para cocina murciana"
"Alborada","TRADICIONAL","Cocina tradicional de mercado abierta a los gustos del cliente. Dispone de un moderno bar de tapas. 1 Sol Repsol","No disponible en la fuente","Calle Andrés Baquero, 15, 30001 Murcia","http://www.alboradarestaurante.com/","+34 968 232 323","","cerca del centro; buena opción para cocina murciana"
"Real Casino de Murcia","TRADICIONAL","Gastronomía tradicional de la Región de Murcia en un entorno arquitectónico único.","No disponible en la fuente","Calle Trapería, 22, 30001 Murcia","http://www.restauranterealcasino.com/","+34 968 222 809","","cerca del centro; buena opción para cocina murciana"
"Rincón de Pepe","TRADICIONAL","Una cocina tradicional donde prima el buen saber hacer acompañado de productos de la tierra","No disponible en la fuente","Calle Apóstoles, 34, 30001 Murcia","https://www.restauranterincondepepe.com/","+34 610 99 99 99","","cerca del centro; buena opción para cocina murciana"
"Hispano","TRADICIONAL","Restaurante acogedor y elegante en el centro de la ciudad de Murcia, donde disfrutar de la gastronomía tradicional murciana con toques renovados y de producto.","No disponible en la fuente","Calle Radio Murcia, 4, 30001 Murcia","http://www.restaurantehispano.es/","+34 968 21 61 52","","cerca del centro; buena opción para cocina murciana"
"Restaurante Jota Ele","TRADICIONAL","Barra de tapas y raciones de esmerada elaboración y calidad máxima en el producto que hacen honor a la tradición murciana del culto a comer en barra.","No disponible en la fuente","Plaza de Santa Isabel, 6, 30004 Murcia","https://jotaelerestaurante.com/","+34 968 220 730","","cerca del centro; buena opción para cocina murciana"
"Rincón Huertano","TRADICIONAL","El Rincón Huertano de Murcia nació siendo un pequeño restaurante en la huerta y se ha convertido en un referente de la gastronomía murciana. Fiel conservador de las tradiciones y costumbres de Murcia","No disponible en la fuente","Calle de los Lorcas, 16, 30570 Beniaján, Murcia","http://www.rinconhuertano.com/","+34 968 87 41 52","","buena opción para cocina murciana"
